Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
25,regular,1,823,0,242,1,0.772769953,0.8742,0.871822034
25,irregular,1,64,396,368,0.139130435,0.148148148,2.087,0.143497758
25,semiregular,1,488,93,365,0.839931153,0.572098476,0.812,0.680613668
25,regular,2,886,0,115,1,0.885114885,0.9419,0.939056704
25,irregular,2,78,404,378,0.161825726,0.171052632,2.2029,0.166311301
25,semiregular,2,455,102,423,0.816876122,0.518223235,0.7772,0.634146341
25,regular,3,911,1,68,0.998903509,0.930541369,0.9651,0.96351137
25,irregular,3,131,188,109,0.410658307,0.545833333,1.1643,0.468694097
25,semiregular,3,602,61,170,0.907993967,0.779792746,0.9248,0.83902439
26,regular,1,848,4,266,0.995305164,0.761220826,0.869,0.86266531
26,irregular,1,67,285,265,0.190340909,0.201807229,1.5514,0.195906433
26,semiregular,1,501,103,332,0.829470199,0.601440576,0.8431,0.697286013
26,regular,2,897,4,168,0.995560488,0.842253521,0.9188,0.912512716
26,irregular,2,86,337,322,0.203309693,0.210784314,1.9065,0.206979543
26,semiregular,2,485,79,389,0.859929078,0.554919908,0.7861,0.674547983
26,regular,3,932,4,101,0.995726496,0.902226525,0.9513,0.946673438
26,irregular,3,165,154,112,0.517241379,0.59566787,1.2991,0.553691275
26,semiregular,3,601,47,190,0.927469136,0.759797724,0.9014,0.835302293
27,regular,1,887,0,556,1,0.614691615,0.7624,0.761373391
27,irregular,1,79,365,332,0.177927928,0.192214112,1.5296,0.184795322
27,semiregular,1,392,74,597,0.841201717,0.39635996,0.6401,0.538831615
27,regular,2,1036,1,254,0.99903568,0.803100775,0.8937,0.890416846
27,irregular,2,87,334,289,0.206650831,0.231382979,1.3926,0.218318695
27,semiregular,2,524,95,311,0.846526656,0.62754491,0.853,0.720770289
27,regular,3,1101,2,127,0.998186763,0.896579805,0.9468,0.944658945
27,irregular,3,204,211,127,0.491566265,0.616314199,1.2259,0.54691689
