Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
9.00,semiregular,2.00,677.00,136.00,140.00,0.83,0.83,1.17,0.83
9.00,regular,3.00,1063.00,7.00,76.00,0.99,0.93,0.97,0.96
9.00,irregular,3.00,266.00,1421.00,1425.00,0.16,0.16,6.36,0.16
9.00,semiregular,3.00,678.00,140.00,145.00,0.83,0.82,1.17,0.83
10.00,regular,1.00,1012.00,47.00,52.00,0.96,0.95,1.05,0.95
10.00,irregular,1.00,247.00,1151.00,1156.00,0.18,0.18,5.68,0.18
10.00,semiregular,1.00,651.00,277.00,282.00,0.70,0.70,1.42,0.70
10.00,regular,2.00,1013.00,213.00,219.00,0.83,0.82,1.22,0.82
10.00,irregular,2.00,246.00,1196.00,1202.00,0.17,0.17,5.86,0.17
10.00,semiregular,2.00,650.00,311.00,316.00,0.68,0.67,1.47,0.67
10.00,regular,3.00,1014.00,163.00,168.00,0.86,0.86,1.17,0.86
10.00,irregular,3.00,247.00,1202.00,1207.00,0.17,0.17,5.89,0.17
10.00,semiregular,3.00,651.00,276.00,281.00,0.70,0.70,1.42,0.70
11.00,regular,1.00,1069.00,20.00,25.00,0.98,0.98,1.02,0.98
11.00,irregular,1.00,232.00,1155.00,1160.00,0.17,0.17,5.82,0.17
11.00,semiregular,1.00,693.00,275.00,281.00,0.72,0.71,1.39,0.71
11.00,regular,2.00,1066.00,79.00,84.00,0.93,0.93,1.07,0.93
11.00,irregular,2.00,235.00,1191.00,1195.00,0.16,0.16,5.98,0.16
11.00,semiregular,2.00,696.00,292.00,297.00,0.70,0.70,1.42,0.70
11.00,regular,3.00,1070.00,75.00,80.00,0.93,0.93,1.07,0.93
11.00,irregular,3.00,239.00,1191.00,1197.00,0.17,0.17,6.01,0.17
11.00,semiregular,3.00,699.00,310.00,315.00,0.69,0.69,1.45,0.69
12.00,regular,1.00,1005.00,29.00,33.00,0.97,0.97,1.03,0.97
12.00,irregular,1.00,200.00,1203.00,1208.00,0.14,0.14,6.90,0.14
12.00,semiregular,1.00,632.00,363.00,369.00,0.64,0.63,1.56,0.63
12.00,regular,2.00,1007.00,99.00,103.00,0.91,0.91,1.10,0.91
12.00,irregular,2.00,204.00,1302.00,1307.00,0.14,0.14,7.41,0.14
12.00,semiregular,2.00,633.00,387.00,392.00,0.62,0.62,1.60,0.62
12.00,regular,3.00,1003.00,148.00,154.00,0.87,0.87,1.15,0.87
12.00,irregular,3.00,204.00,1280.00,1286.00,0.14,0.14,7.30,0.14
12.00,semiregular,3.00,635.00,383.00,387.00,0.62,0.62,1.59,0.62
13.00,regular,1.00,1000.00,26.00,31.00,0.97,0.97,1.03,0.97
