Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,280,5,1308,0.9824561403508771,0.17632241813602015,0.3052,0.29898558462359853
1,irregular,1,68,249,250,0.21451104100946372,0.2138364779874214,1.5980,0.21417322834645672
1,semiregular,1,245,60,855,0.8032786885245902,0.22272727272727272,0.4353,0.3487544483985765
1,regular,2,438,1,994,0.9977220956719818,0.3058659217877095,0.4717,0.4681988241582042
1,irregular,2,17,45,317,0.27419354838709675,0.05089820359281437,0.3216,0.08585858585858584
1,semiregular,2,125,23,1131,0.8445945945945946,0.09952229299363058,0.2134,0.1780626780626781
1,regular,3,933,42,44,0.9569230769230769,0.95496417604913,1.0427,0.9559426229508196
1,irregular,3,161,33,43,0.8298969072164949,0.7892156862745098,0.9749,0.8090452261306532
1,semiregular,3,612,57,124,0.9147982062780269,0.8315217391304348,0.9531,0.8711743772241993
2,regular,1,231,0,1984,1.0,0.10428893905191873,0.1904,0.18887980376124283
2,irregular,1,89,338,340,0.20843091334894615,0.20745920745920746,1.9770,0.20794392523364486
2,semiregular,1,194,12,893,0.941747572815534,0.17847286108555657,0.3199,0.3000773395204949
2,regular,2,632,0,1183,1.0,0.34820936639118455,0.5172,0.5165508786268901
2,irregular,2,110,112,113,0.4954954954954955,0.49327354260089684,1.0276,0.4943820224719101
2,semiregular,2,334,12,612,0.9653179190751445,0.35306553911205074,0.5379,0.5170278637770899
2,regular,3,1023,5,392,0.995136186770428,0.7229681978798587,0.8440,0.8374948833401556
2,irregular,3,78,170,173,0.31451612903225806,0.3107569721115538,1.1567,0.312625250501002
2,semiregular,3,508,44,231,0.9202898550724637,0.6874154262516915,0.8578,0.7869868319132456
3,regular,1,301,0,1502,1.0,0.16694398225180254,0.2877,0.28612167300380226
3,irregular,1,69,282,283,0.19658119658119658,0.19602272727272727,1.5714,0.19630156472261734
3,semiregular,1,222,38,948,0.8538461538461538,0.18974358974358974,0.3659,0.3104895104895105
3,regular,2,649,1,804,0.9984615384615385,0.44666207845836203,0.6201,0.6172135045173561
3,irregular,2,108,306,307,0.2608695652173913,0.26024096385542167,1.8527,0.2605548854041013
3,semiregular,2,558,89,223,0.8624420401854714,0.7144686299615877,0.9092,0.7815126050420169
3,regular,3,1051,44,45,0.9598173515981735,0.958941605839416,1.0408,0.9593792788680967
3,irregular,3,188,50,52,0.7899159663865546,0.7833333333333333,1.0714,0.7866108786610879
3,semiregular,3,651,47,82,0.9326647564469914,0.888130968622101,0.9763,0.9098532494758911
4,regular,1,254,1,1691,0.996078431372549,0.13059125964010282,0.2334,0.2309090909090909
4,irregular,1,48,209,211,0.1867704280155642,0.18532818532818532,1.1360,0.186046511627907
4,semiregular,1,228,48,722,0.8260869565217391,0.24,0.4528,0.3719412724306689
4,regular,2,546,2,1105,0.9963503649635036,0.33070866141732286,0.5005,0.4965893587994544
4,irregular,2,71,58,254,0.5503875968992248,0.21846153846153846,0.5746,0.31277533039647576
4,semiregular,2,304,51,566,0.856338028169014,0.34942528735632183,0.5831,0.4963265306122449
4,regular,3,970,1,260,0.9989701338825953,0.7886178861788617,0.8828,0.8814175374829624
4,irregular,3,166,100,101,0.6240601503759399,0.6217228464419475,1.1711,0.622889305816135
4,semiregular,3,516,52,143,0.9084507042253521,0.7830045523520486,0.9267,0.841075794621027
5,regular,1,262,0,1563,1.0,0.14356164383561643,0.2519,0.2510781025395304
5,irregular,1,103,436,438,0.19109461966604824,0.19038817005545286,2.4931,0.19074074074074077
5,semiregular,1,168,41,958,0.8038277511961722,0.1492007104795737,0.3144,0.2516853932584269
5,regular,2,658,0,769,1.0,0.4611072179397337,0.6331,0.6311750599520384
5,irregular,2,96,434,437,0.1811320754716981,0.1801125703564728,2.4562,0.180620884289746
5,semiregular,2,490,138,216,0.7802547770700637,0.6940509915014165,0.9431,0.7346326836581709
5,regular,3,1043,30,31,0.9720410065237651,0.9711359404096834,1.0287,0.9715882626921286
5,irregular,3,168,43,53,0.7962085308056872,0.7601809954751131,0.9770,0.7777777777777778
5,semiregular,3,607,56,65,0.9155354449472096,0.9032738095238095,0.9940,0.9093632958801497
6,regular,1,344,0,1140,1.0,0.23180592991913745,0.3781,0.37636761487964987
6,irregular,1,55,305,308,0.1527777777777778,0.15151515151515152,1.8615,0.1521438450899032
6,semiregular,1,252,38,859,0.8689655172413793,0.22682268226822683,0.4151,0.35974304068522484
6,regular,2,568,3,687,0.9947460595446584,0.45258964143426295,0.6284,0.6221248630887185
6,irregular,2,67,221,223,0.2326388888888889,0.23103448275862068,1.4872,0.23183391003460208
6,semiregular,2,425,57,494,0.8817427385892116,0.4624591947769314,0.6890,0.6067094932191291
6,regular,3,881,3,64,0.996606334841629,0.9322751322751323,0.9672,0.9633679606342263
6,irregular,3,157,139,139,0.5304054054054054,0.5304054054054054,1.5231,0.5304054054054054
6,semiregular,3,633,37,97,0.9447761194029851,0.8671232876712329,0.9586,0.9042857142857144
7,regular,1,89,3,2278,0.967391304347826,0.03760033798056612,0.0756,0.07238714924766165
7,irregular,1,34,197,197,0.1471861471861472,0.1471861471861472,1.0267,0.1471861471861472
7,semiregular,1,50,7,1395,0.8771929824561403,0.03460207612456748,0.0762,0.06657789613848203
7,regular,2,492,0,1473,1.0,0.250381679389313,0.4024,0.4004884004884005
7,irregular,2,37,299,295,0.11011904761904762,0.11144578313253012,1.4978,0.11077844311377245
7,semiregular,2,378,63,701,0.8571428571428571,0.35032437442076,0.5821,0.49736842105263157
7,regular,3,1067,1,323,0.9990636704119851,0.7676258992805756,0.8691,0.8681855166802278
7,irregular,3,161,132,132,0.5494880546075085,0.5494880546075085,1.3022,0.5494880546075085
7,semiregular,3,605,60,251,0.9097744360902256,0.7067757009345794,0.8752,0.7955292570677186
8,regular,1,659,0,749,1.0,0.4680397727272727,0.6396,0.6376390904692791
8,irregular,1,49,334,336,0.1279373368146214,0.12727272727272726,1.5844,0.12760416666666663
8,semiregular,1,452,73,674,0.8609523809523809,0.40142095914742454,0.6385,0.5475469412477287
8,regular,2,941,5,179,0.9947145877378436,0.8401785714285714,0.9179,0.9109390125847048
8,irregular,2,170,1311,1315,0.11478730587440918,0.11447811447811448,6.1111,0.11463250168577208
8,semiregular,2,763,201,206,0.7914937759336099,0.7874097007223942,1.1717,0.7894464562855665
8,regular,3,1026,23,26,0.9780743565300286,0.9752851711026616,1.0164,0.9766777724892907
8,irregular,3,195,183,183,0.5158730158730159,0.5158730158730159,1.5597,0.5158730158730159
8,semiregular,3,763,50,77,0.9384993849938499,0.9083333333333333,0.9843,0.9231699939503932
9,regular,1,562,7,1081,0.9876977152899824,0.34205721241631165,0.5158,0.5081374321880652
9,irregular,1,49,294,297,0.14285714285714285,0.1416184971098266,1.3008,0.14223512336719885
9,semiregular,1,390,39,581,0.9090909090909091,0.4016477857878476,0.6148,0.5571428571428572
9,regular,2,709,0,793,1.0,0.47203728362183756,0.6432,0.6413387607417458
9,irregular,2,56,394,395,0.12444444444444444,0.12416851441241686,1.6955,0.12430632630410654
9,semiregular,2,377,40,606,0.9040767386091128,0.38351983723296035,0.5977,0.5385714285714286
9,regular,3,1068,3,74,0.9971988795518207,0.9352014010507881,0.9684,0.965205603253502
9,irregular,3,205,156,157,0.5678670360110804,0.5662983425414365,1.3609,0.5670816044260029
9,semiregular,3,640,22,98,0.9667673716012085,0.8672086720867209,0.9472,0.9142857142857143
10,regular,1,347,9,1324,0.9747191011235955,0.20766008378216635,0.3521,0.3423778983719783
10,irregular,1,105,335,336,0.23863636363636365,0.23809523809523808,1.7854,0.2383654937570942
10,semiregular,1,216,25,853,0.8962655601659751,0.20205799812909261,0.3704,0.3297709923664122
10,regular,2,603,7,812,0.9885245901639345,0.42614840989399294,0.6045,0.5955555555555555
10,irregular,2,52,199,199,0.20717131474103587,0.20717131474103587,1.0202,0.2071713147410359
10,semiregular,2,305,34,667,0.8997050147492626,0.31378600823045266,0.5183,0.46529366895499613
10,regular,3,1011,103,105,0.90754039497307,0.9059139784946236,1.1006,0.9067264573991031
10,irregular,3,188,92,93,0.6714285714285714,0.6690391459074733,1.1377,0.6702317290552584
10,semiregular,3,583,33,112,0.9464285714285714,0.8388489208633093,0.9405,0.8893974065598779
11,regular,1,347,0,1444,1.0,0.19374651032942491,0.3262,0.3246024321796071
11,irregular,1,89,457,459,0.163003663003663,0.1624087591240876,2.2929,0.1627056672760512
11,semiregular,1,281,59,777,0.8264705882352941,0.2655954631379962,0.4886,0.402002861230329
11,regular,2,657,1,822,0.9984802431610942,0.44421906693711966,0.6178,0.6148806738418343
11,irregular,2,59,285,286,0.17151162790697674,0.17101449275362318,1.4435,0.17126269956458634
11,semiregular,2,353,75,617,0.8247663551401869,0.36391752577319586,0.6143,0.5050071530758226
11,regular,3,1060,1,18,0.9990574929311969,0.9833024118738405,0.9925,0.9911173445535297
11,irregular,3,180,197,198,0.47745358090185674,0.47619047619047616,1.5816,0.4768211920529801
11,semiregular,3,592,46,168,0.9278996865203761,0.7789473684210526,0.9143,0.8469241773962805
12,regular,1,253,0,1506,1.0,0.14383172256964183,0.2532,0.25149105367793234
12,irregular,1,92,413,415,0.18217821782178217,0.1814595660749507,2.4853,0.18181818181818182
