Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,548,35,740,0.9399656946826758,0.4254658385093168,0.6254,0.5857830037413148
1,irregular,1,154,505,507,0.2336874051593323,0.2329803328290469,3.3216,0.23333333333333334
1,semiregular,1,599,182,185,0.7669654289372599,0.764030612244898,1.1152,0.7654952076677316
1,regular,2,704,39,424,0.9475100942126514,0.624113475177305,0.7962,0.7525387493319082
1,irregular,2,153,473,478,0.24440894568690097,0.24247226624405704,3.1709,0.24343675417661098
1,semiregular,2,600,215,220,0.7361963190184049,0.7317073170731707,1.1664,0.7339449541284403
1,regular,3,810,46,205,0.9462616822429907,0.7980295566502463,0.9168,0.865847140566542
1,irregular,3,191,612,617,0.23785803237858033,0.23638613861386137,4.0603,0.23711980136561142
1,semiregular,3,655,342,346,0.6569709127382146,0.6543456543456544,1.4239,0.6556556556556558
2,regular,1,684,9,1068,0.987012987012987,0.3904109589041096,0.5686,0.5595092024539877
2,irregular,1,165,698,701,0.19119351100811124,0.1905311778290993,3.9908,0.19086176980913824
2,semiregular,1,485,41,280,0.9220532319391636,0.6339869281045751,0.8176,0.7513555383423703
2,regular,2,694,8,1049,0.9886039886039886,0.39816408491107286,0.5760,0.5676891615541922
2,irregular,2,178,760,764,0.18976545842217485,0.18895966029723993,4.3410,0.1893617021276596
2,semiregular,2,447,45,352,0.9085365853658537,0.5594493116395495,0.7651,0.6924864446165764
2,regular,3,790,6,858,0.992462311557789,0.47936893203883496,0.6536,0.646481178396072
2,irregular,3,194,746,750,0.20638297872340425,0.2055084745762712,4.3502,0.2059447983014862
2,semiregular,3,551,74,114,0.8816,0.8285714285714286,0.9722,0.8542635658914729
3,regular,1,670,1,762,0.9985096870342772,0.46787709497206703,0.6401,0.6371849738468854
3,irregular,1,169,659,662,0.2041062801932367,0.20336943441636582,3.7098,0.20373719107896324
3,semiregular,1,557,85,230,0.867601246105919,0.7077509529860229,0.9008,0.7795661301609517
