Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
30,semiregular,3,695,85,143,0.891025641,0.829355609,0.9654,0.85908529
,,,,,,,Average Type,RCA,SDA
,,,,,,,Overall,1.977,0.553
,,,,,,,Regular Gait,0.758,0.731
,,,,,,,Irregular Gait,4.230,0.188
,,,,,,,SemiRegular Gait,0.944,0.741
,,,,,,,Wrist Sensor,1.781,0.538
,,,,,,,Hip Sensor,2.201,0.503
,,,,,,,Ankle Sensor,1.950,0.619
,,,,,,,regular and wrist,0.73566,0.726398053
