Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,509,36,818,0.9339449541284404,0.3835719668425019,0.5838,0.5438034188034188
1,irregular,1,148,433,438,0.2547332185886403,0.2525597269624573,2.9447,0.25364181662382174
1,semiregular,1,440,118,406,0.7885304659498208,0.5200945626477541,0.7966,0.6267806267806268
1,regular,2,438,34,962,0.9279661016949152,0.31285714285714283,0.5059,0.467948717948718
1,irregular,2,130,336,338,0.27896995708154504,0.2777777777777778,2.3518,0.278372591006424
1,semiregular,2,453,122,375,0.7878260869565218,0.5471014492753623,0.8222,0.64575908766928
1,regular,3,483,26,880,0.9489194499017681,0.35436537050623623,0.5454,0.5160256410256411
1,irregular,3,134,349,351,0.2774327122153209,0.27628865979381445,2.4372,0.27685950413223137
1,semiregular,3,488,115,312,0.8092868988391376,0.61,0.8620,0.6956521739130435
2,regular,1,489,3,1465,0.9939024390243902,0.2502558853633572,0.4036,0.3998364677023712
2,irregular,1,131,640,643,0.16990920881971466,0.16925064599483206,3.5668,0.16957928802589
2,semiregular,1,368,30,525,0.9246231155778895,0.41209406494960804,0.6198,0.5701006971340046
2,regular,2,716,3,1010,0.9958275382475661,0.4148319814600232,0.5899,0.5856850715746421
2,irregular,2,141,631,634,0.18264248704663213,0.18193548387096775,3.5714,0.18228829993535875
2,semiregular,2,499,39,253,0.9275092936802974,0.663563829787234,0.8377,0.7736434108527132
2,regular,3,523,3,1397,0.9942965779467681,0.27239583333333334,0.4314,0.4276369582992641
2,irregular,3,133,650,652,0.1698595146871009,0.16942675159235668,3.6175,0.16964285714285715
2,semiregular,3,361,24,546,0.9376623376623376,0.3980154355016538,0.5981,0.5588235294117647
3,regular,1,543,3,1014,0.9945054945054945,0.348747591522158,0.5214,0.5164051355206848
3,irregular,1,156,641,644,0.19573400250941028,0.195,3.5714,0.19536631183469005
3,semiregular,1,414,67,534,0.8607068607068608,0.43670886075949367,0.6760,0.5794261721483555
3,regular,2,481,1,1140,0.9979253112033195,0.29673041332510797,0.4606,0.4574417498811222
3,irregular,2,121,375,377,0.2439516129032258,0.2429718875502008,2.2232,0.24346076458752516
3,semiregular,2,395,58,582,0.8719646799116998,0.40429887410440124,0.6355,0.5524475524475524
3,regular,3,565,2,972,0.9964726631393298,0.36759921925829536,0.5404,0.5370722433460076
3,irregular,3,141,484,486,0.2256,0.22488038277511962,2.7991,0.22523961661341854
3,semiregular,3,407,57,559,0.8771551724137931,0.42132505175983437,0.6508,0.5692307692307693
4,regular,1,495,7,1203,0.9860557768924303,0.2915194346289753,0.4578,0.45000000000000007
4,irregular,1,150,565,568,0.2097902097902098,0.20891364902506965,3.1491,0.209351011863224
4,semiregular,1,332,80,482,0.8058252427184466,0.40786240786240785,0.6743,0.5415986949429037
4,regular,2,714,3,768,0.99581589958159,0.4817813765182186,0.6540,0.6493860845839018
4,irregular,2,161,535,538,0.23132183908045978,0.23032904148783978,3.0658,0.23082437275985665
4,semiregular,2,446,115,218,0.7950089126559715,0.6716867469879518,0.9186,0.7281632653061224
4,regular,3,492,5,1210,0.9899396378269618,0.2890716803760282,0.4541,0.44747612551159616
4,irregular,3,137,602,605,0.18538565629228687,0.18463611859838275,3.2544,0.18501012829169478
4,semiregular,3,371,86,397,0.811816192560175,0.4830729166666667,0.7492,0.6057142857142858
5,regular,1,431,0,1224,1.0,0.26042296072507554,0.4148,0.4132310642377756
5,irregular,1,150,722,725,0.1720183486238532,0.17142857142857143,4.0323,0.17172295363480253
5,semiregular,1,378,97,480,0.7957894736842105,0.4405594405594406,0.7156,0.5671417854463616
5,regular,2,492,1,1101,0.9979716024340771,0.3088512241054614,0.4741,0.4717162032598274
5,irregular,2,127,596,598,0.17565698478561548,0.17517241379310344,3.3410,0.17541436464088397
5,semiregular,2,417,108,392,0.7942857142857143,0.515451174289246,0.7889,0.6251874062968517
5,regular,3,536,0,1013,1.0,0.3460296965784377,0.5163,0.5141486810551559
5,irregular,3,149,644,647,0.18789407313997478,0.1871859296482412,3.6682,0.18753933291378225
5,semiregular,3,448,124,314,0.7832167832167832,0.5879265091863517,0.8593,0.6716641679160419
6,regular,1,423,25,956,0.9441964285714286,0.3067440174039159,0.4929,0.4630541871921182
6,irregular,1,147,819,823,0.15217391304347827,0.1515463917525773,4.9744,0.1518595041322314
6,semiregular,1,385,65,565,0.8555555555555555,0.4052631578947368,0.6448,0.5499999999999999
6,regular,2,476,20,856,0.9596774193548387,0.35735735735735735,0.5443,0.5207877461706782
6,irregular,2,127,460,462,0.21635434412265758,0.21561969439728354,3.0205,0.21598639455782317
6,semiregular,2,417,64,501,0.8669438669438669,0.4542483660130719,0.6904,0.5961401000714797
6,regular,3,454,15,904,0.9680170575692963,0.33431516936671574,0.5158,0.49698960043787627
