Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA,,,,
9,semiregular,2,507,54,331,0.903743316,0.605011933,0.8046,0.724803431,,,,
9,regular,3,1098,74,76,0.936860068,0.935264055,1.0605,0.936061381,,,,
9,irregular,3,250,580,582,0.301204819,0.300480769,3.1278,0.300842359,,,,
9,semiregular,3,674,97,99,0.874189364,0.871927555,1.1027,0.873056995,,,,
10,regular,1,698,13,616,0.981715893,0.531202435,0.7041,0.689382716,,,,
10,irregular,1,154,515,516,0.23019432,0.229850746,2.7126,0.230022405,,,,
10,semiregular,1,444,61,360,0.879207921,0.552238806,0.7744,0.678380443,,,,
10,regular,2,701,14,609,0.98041958,0.535114504,0.7081,0.692345679,,,,
10,irregular,2,144,535,537,0.212076583,0.211453744,2.7571,0.211764706,,,,
10,semiregular,2,481,57,290,0.894052045,0.62386511,0.8247,0.734912147,,,,
10,regular,3,937,14,136,0.985278654,0.873252563,0.9418,0.925889328,,,,
10,irregular,3,226,446,448,0.336309524,0.335311573,2.7287,0.335809807,,,,
10,semiregular,3,586,59,78,0.908527132,0.88253012,0.9878,0.895339954,,,,
11,regular,1,693,1,750,0.998559078,0.48024948,0.6514,0.648572766,,,,
11,irregular,1,117,536,539,0.179173047,0.178353659,2.7448,0.178762414,,,,
11,semiregular,1,487,107,316,0.81986532,0.606475716,0.8529,0.697208304,,,,
11,regular,2,758,1,619,0.998682477,0.550472041,0.7131,0.709737828,,,,
11,irregular,2,132,594,596,0.181818182,0.181318681,3.046,0.181568088,,,,
11,semiregular,2,504,97,292,0.838602329,0.633165829,0.8629,0.72154617,,,,
11,regular,3,1066,116,118,0.901861252,0.900337838,1.1065,0.901098901,,,,
11,irregular,3,218,480,482,0.312320917,0.311428571,2.9289,0.311874106,,,,
11,semiregular,3,659,116,119,0.850322581,0.847043702,1.1114,0.848679974,,,,
12,regular,1,707,0,597,1,0.542177914,0.7051,0.70313277,,,,
12,irregular,1,113,580,583,0.163059163,0.162356322,3.4118,0.162706983,,,,
12,semiregular,1,447,131,254,0.773356401,0.637660485,0.9064,0.698983581,,,,
12,regular,2,811,1,388,0.998768473,0.676396997,0.8093,0.806563899,,,,
12,irregular,2,117,646,649,0.153342071,0.152741514,3.7549,0.153041203,,,,
12,semiregular,2,485,127,182,0.79248366,0.727136432,0.9594,0.758405004,,,,
12,regular,3,974,189,195,0.837489252,0.833190761,1.1609,0.835334477,,,,
12,irregular,3,200,531,533,0.273597811,0.272851296,3.5931,0.273224044,,,,
12,semiregular,3,622,152,154,0.803617571,0.801546392,1.2106,0.802580645,,,,
13,regular,1,737,1,522,0.998644986,0.585385226,0.741,0.738107161,,,,
13,irregular,1,113,845,847,0.117954071,0.117708333,4.4444,0.117831074,,,,
13,semiregular,1,613,91,309,0.870738636,0.664859002,0.8687,0.75399754,,,,
13,regular,2,796,1,403,0.998745295,0.663886572,0.801,0.79759519,,,,
13,irregular,2,126,915,917,0.121037464,0.120805369,4.8287,0.120921305,,,,
13,semiregular,2,625,89,287,0.87535014,0.685307018,0.881,0.768757688,,,,
13,regular,3,935,10,118,0.989417989,0.887939221,0.947,0.935935936,,,,
13,irregular,3,200,728,731,0.215517241,0.214822771,4.3102,0.215169446,,,,
13,semiregular,3,761,84,87,0.900591716,0.89740566,1.0405,0.898995865,,,,
14,regular,1,713,1,674,0.99859944,0.51405912,0.6816,0.678724417,,,,
14,irregular,1,115,548,550,0.173453997,0.172932331,3.0645,0.173192771,,,,
14,semiregular,1,624,108,468,0.852459016,0.571428571,0.8039,0.684210526,,,,
14,regular,2,741,0,618,1,0.545253863,0.7082,0.705714286,,,,
14,irregular,2,122,611,614,0.166439291,0.16576087,3.3917,0.166099387,,,,
14,semiregular,2,751,67,254,0.91809291,0.747263682,0.8992,0.823916621,,,,
14,regular,3,1040,33,35,0.969245107,0.96744186,1.0219,0.968342644,,,,
14,irregular,3,205,471,473,0.303254438,0.302359882,3.1244,0.302806499,,,,
14,semiregular,3,708,242,245,0.745263158,0.742917104,1.0438,0.744088282,,,,
15,regular,1,735,1,453,0.998641304,0.618686869,0.7676,0.764033264,,,,
15,irregular,1,106,556,559,0.160120846,0.159398496,3.0505,0.159758855,,,,
15,semiregular,1,559,98,329,0.850837139,0.629504505,0.8527,0.723624595,,,,
15,regular,2,673,1,578,0.99851632,0.537969624,0.7023,0.699220779,,,,
15,irregular,2,127,634,636,0.166885677,0.166448231,3.5,0.166666667,,,,
15,semiregular,2,592,79,282,0.882265276,0.677345538,0.8708,0.766343042,,,,
