0	0.535	-0.453	0.862	4.471	-3.538	-6.205
	0.534	-0.445	0.875	4.657	-7.058	-6.951
	0.534	-0.438	0.889	4.844	-10.578	-7.698
	0.534	-0.430	0.902	5.031	-14.098	-8.445
	0.541	-0.425	0.906	2.711	-15.324	-14.925
	0.525	-0.408	0.909	0.631	-15.858	-11.565
	0.510	-0.392	0.913	-1.449	-16.391	-8.205
	0.494	-0.375	0.917	-3.529	-16.924	-4.845
	0.479	-0.357	0.934	-5.129	-14.978	-1.485
	0.463	-0.340	0.952	-6.729	-13.031	1.875
	0.486	-0.338	0.932	-5.316	-10.604	1.609
	0.509	-0.336	0.912	-3.903	-8.178	1.342
	0.532	-0.335	0.891	-2.489	-5.751	1.075
	0.554	-0.333	0.871	-1.076	-3.324	0.809
	0.561	-0.338	0.843	-0.516	-1.351	-1.405
	0.562	-0.345	0.832	-0.676	0.089	-3.858
	0.558	-0.344	0.824	-0.836	-0.818	-6.925
	0.546	-0.334	0.821	-1.449	-2.151	-10.445
	0.547	-0.327	0.823	-1.209	-1.724	-10.285
	0.540	-0.318	0.831	-1.423	-1.591	-10.471
	0.535	-0.321	0.835	-0.249	-2.071	-11.725
	0.526	-0.322	0.832	-0.889	0.116	-7.298
	0.520	-0.325	0.830	-2.036	3.076	-1.405
	0.514	-0.329	0.827	-3.183	6.036	4.489
	0.550	-0.357	0.802	0.524	7.156	-0.818
	0.568	-0.360	0.809	1.511	8.356	-2.071
	0.586	-0.364	0.817	2.497	9.556	-3.325
	0.605	-0.368	0.824	3.484	10.756	-4.578
	0.623	-0.372	0.832	4.471	11.956	-5.831
	0.641	-0.375	0.840	5.457	13.156	-7.085
	0.666	-0.381	0.829	7.191	15.289	-7.805
	0.696	-0.394	0.815	8.924	19.769	-7.911
	0.734	-0.417	0.796	11.111	24.676	-7.565
	0.759	-0.437	0.772	12.444	27.822	-10.898
	0.792	-0.459	0.742	14.231	31.262	-13.885
	0.833	-0.484	0.713	16.764	32.862	-17.938
	0.878	-0.510	0.690	21.111	31.796	-27.671
	0.872	-0.515	0.700	23.884	28.516	-34.631
	0.872	-0.516	0.709	25.964	25.876	-40.125
	0.823	-0.492	0.737	20.551	27.129	-32.605
	0.805	-0.472	0.752	14.924	30.329	-20.471
	0.802	-0.465	0.761	11.804	33.689	-7.085
	0.794	-0.457	0.762	9.084	35.182	2.169
	0.791	-0.447	0.754	6.684	35.289	10.755
	0.790	-0.438	0.740	4.897	35.022	20.275
	0.789	-0.429	0.726	3.111	34.756	29.795
	0.789	-0.420	0.712	1.324	34.489	39.315
	0.788	-0.411	0.698	-0.463	34.222	48.835
	0.787	-0.402	0.684	-2.249	33.956	58.355
	0.787	-0.392	0.670	-4.036	33.689	67.875
	0.786	-0.383	0.656	-5.823	33.422	77.395
	0.785	-0.374	0.642	-7.609	33.156	86.915
	0.825	-0.389	0.559	-5.956	30.596	89.875
	0.858	-0.408	0.479	-3.876	27.049	90.462
	0.888	-0.431	0.405	-0.196	21.502	87.689
	0.893	-0.449	0.342	3.511	14.356	80.835
	0.883	-0.455	0.286	4.711	7.049	72.729
	0.878	-0.461	0.237	5.511	1.609	68.755
	0.869	-0.468	0.198	5.991	-2.444	65.449
	0.857	-0.476	0.164	5.857	-6.124	61.209
	0.845	-0.483	0.131	5.724	-9.804	56.969
	0.833	-0.491	0.097	5.591	-13.484	52.729
	0.821	-0.498	0.063	5.457	-17.164	48.488
	0.809	-0.506	0.030	5.324	-20.844	44.248
	0.797	-0.513	-0.004	5.191	-24.524	40.009
	0.785	-0.521	-0.038	5.057	-28.204	35.769
	0.773	-0.528	-0.071	4.924	-31.884	31.529
	0.767	-0.531	-0.069	3.431	-31.831	29.609
	0.763	-0.533	-0.067	2.204	-31.431	28.595
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
1	0.562	-0.345	0.832	-0.676	0.089	-3.858
	0.558	-0.344	0.824	-0.836	-0.818	-6.925
	0.546	-0.334	0.821	-1.449	-2.151	-10.445
	0.547	-0.327	0.823	-1.209	-1.724	-10.285
	0.540	-0.318	0.831	-1.423	-1.591	-10.471
	0.535	-0.321	0.835	-0.249	-2.071	-11.725
	0.526	-0.322	0.832	-0.889	0.116	-7.298
	0.520	-0.325	0.830	-2.036	3.076	-1.405
	0.514	-0.329	0.827	-3.183	6.036	4.489
	0.550	-0.357	0.802	0.524	7.156	-0.818
	0.568	-0.360	0.809	1.511	8.356	-2.071
	0.586	-0.364	0.817	2.497	9.556	-3.325
	0.605	-0.368	0.824	3.484	10.756	-4.578
	0.623	-0.372	0.832	4.471	11.956	-5.831
	0.641	-0.375	0.840	5.457	13.156	-7.085
	0.666	-0.381	0.829	7.191	15.289	-7.805
	0.696	-0.394	0.815	8.924	19.769	-7.911
	0.734	-0.417	0.796	11.111	24.676	-7.565
	0.759	-0.437	0.772	12.444	27.822	-10.898
	0.792	-0.459	0.742	14.231	31.262	-13.885
	0.833	-0.484	0.713	16.764	32.862	-17.938
	0.878	-0.510	0.690	21.111	31.796	-27.671
	0.872	-0.515	0.700	23.884	28.516	-34.631
	0.872	-0.516	0.709	25.964	25.876	-40.125
	0.823	-0.492	0.737	20.551	27.129	-32.605
	0.805	-0.472	0.752	14.924	30.329	-20.471
	0.802	-0.465	0.761	11.804	33.689	-7.085
	0.794	-0.457	0.762	9.084	35.182	2.169
	0.791	-0.447	0.754	6.684	35.289	10.755
	0.790	-0.438	0.740	4.897	35.022	20.275
	0.789	-0.429	0.726	3.111	34.756	29.795
	0.789	-0.420	0.712	1.324	34.489	39.315
	0.788	-0.411	0.698	-0.463	34.222	48.835
	0.787	-0.402	0.684	-2.249	33.956	58.355
	0.787	-0.392	0.670	-4.036	33.689	67.875
	0.786	-0.383	0.656	-5.823	33.422	77.395
	0.785	-0.374	0.642	-7.609	33.156	86.915
	0.825	-0.389	0.559	-5.956	30.596	89.875
	0.858	-0.408	0.479	-3.876	27.049	90.462
	0.888	-0.431	0.405	-0.196	21.502	87.689
	0.893	-0.449	0.342	3.511	14.356	80.835
	0.883	-0.455	0.286	4.711	7.049	72.729
	0.878	-0.461	0.237	5.511	1.609	68.755
	0.869	-0.468	0.198	5.991	-2.444	65.449
	0.857	-0.476	0.164	5.857	-6.124	61.209
	0.845	-0.483	0.131	5.724	-9.804	56.969
	0.833	-0.491	0.097	5.591	-13.484	52.729
	0.821	-0.498	0.063	5.457	-17.164	48.488
	0.809	-0.506	0.030	5.324	-20.844	44.248
	0.797	-0.513	-0.004	5.191	-24.524	40.009
	0.785	-0.521	-0.038	5.057	-28.204	35.769
	0.773	-0.528	-0.071	4.924	-31.884	31.529
	0.767	-0.531	-0.069	3.431	-31.831	29.609
	0.763	-0.533	-0.067	2.204	-31.431	28.595
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.770	-0.533	-0.068	2.017	-31.084	29.129
	0.744	-0.530	-0.006	1.644	-30.204	25.689
	0.716	-0.527	0.056	1.404	-27.991	23.529
	0.688	-0.526	0.120	1.271	-25.084	21.795
	0.661	-0.524	0.182	1.244	-22.391	20.195
	0.633	-0.524	0.247	1.324	-19.751	18.649
	0.606	-0.523	0.313	1.404	-17.111	17.102
	0.578	-0.522	0.378	1.484	-14.471	15.555
	0.551	-0.521	0.443	1.564	-11.831	14.009
	0.523	-0.520	0.508	1.644	-9.191	12.462
	0.497	-0.522	0.570	1.564	-7.271	10.489
