0	 0.535	 -0.453	 0.862	 4.486	 -3.531	 -6.195
	 0.534	 -0.445	 0.875	 4.673	 -7.051	 -6.942
	 0.534	 -0.438	 0.889	 4.860	 -10.571	 -7.688
	 0.534	 -0.430	 0.902	 5.046	 -14.091	 -8.435
	 0.541	 -0.425	 0.906	 2.726	 -15.317	 -14.915
	 0.525	 -0.408	 0.909	 0.646	 -15.851	 -11.555
	 0.510	 -0.392	 0.913	 -1.434	 -16.384	 -8.195
	 0.494	 -0.375	 0.917	 -3.514	 -16.917	 -4.835
	 0.479	 -0.357	 0.934	 -5.114	 -14.971	 -1.475
	 0.463	 -0.340	 0.952	 -6.714	 -13.024	 1.885
	 0.486	 -0.338	 0.932	 -5.300	 -10.597	 1.618
	 0.509	 -0.336	 0.912	 -3.887	 -8.171	 1.352
	 0.532	 -0.335	 0.891	 -2.474	 -5.744	 1.085
	 0.554	 -0.333	 0.871	 -1.060	 -3.317	 0.818
	 0.561	 -0.338	 0.843	 -0.500	 -1.344	 -1.395
	 0.562	 -0.345	 0.832	 -0.660	 0.096	 -3.848
	 0.558	 -0.344	 0.824	 -0.820	 -0.811	 -6.915
	 0.546	 -0.334	 0.821	 -1.434	 -2.144	 -10.435
	 0.547	 -0.327	 0.823	 -1.194	 -1.717	 -10.275
	 0.540	 -0.318	 0.831	 -1.407	 -1.584	 -10.462
	 0.535	 -0.321	 0.835	 -0.234	 -2.064	 -11.715
	 0.526	 -0.322	 0.832	 -0.874	 0.123	 -7.288
	 0.520	 -0.325	 0.830	 -2.020	 3.083	 -1.395
	 0.514	 -0.329	 0.827	 -3.167	 6.043	 4.498
	 0.550	 -0.357	 0.802	 0.540	 7.163	 -0.808
	 0.568	 -0.360	 0.809	 1.526	 8.363	 -2.062
	 0.586	 -0.364	 0.817	 2.513	 9.563	 -3.315
	 0.605	 -0.368	 0.824	 3.500	 10.763	 -4.568
	 0.623	 -0.372	 0.832	 4.486	 11.963	 -5.822
	 0.641	 -0.375	 0.840	 5.473	 13.163	 -7.075
	 0.666	 -0.381	 0.829	 7.206	 15.296	 -7.795
	 0.696	 -0.394	 0.815	 8.940	 19.776	 -7.902
	 0.734	 -0.417	 0.796	 11.126	 24.683	 -7.555
	 0.759	 -0.437	 0.772	 12.460	 27.829	 -10.888
	 0.792	 -0.459	 0.742	 14.246	 31.269	 -13.875
	 0.833	 -0.484	 0.713	 16.780	 32.869	 -17.928
	 0.878	 -0.510	 0.690	 21.126	 31.803	 -27.662
	 0.872	 -0.515	 0.700	 23.900	 28.523	 -34.622
	 0.872	 -0.516	 0.709	 25.980	 25.883	 -40.115
	 0.823	 -0.492	 0.737	 20.566	 27.136	 -32.595
	 0.805	 -0.472	 0.752	 14.940	 30.336	 -20.462
	 0.802	 -0.465	 0.761	 11.820	 33.696	 -7.075
	 0.794	 -0.457	 0.762	 9.100	 35.189	 2.178
	 0.791	 -0.447	 0.754	 6.700	 35.296	 10.765
	 0.790	 -0.438	 0.740	 4.913	 35.029	 20.285
	 0.789	 -0.429	 0.726	 3.126	 34.763	 29.805
	 0.789	 -0.420	 0.712	 1.340	 34.496	 39.325
	 0.788	 -0.411	 0.698	 -0.447	 34.229	 48.845
	 0.787	 -0.402	 0.684	 -2.234	 33.963	 58.365
	 0.787	 -0.392	 0.670	 -4.020	 33.696	 67.885
	 0.786	 -0.383	 0.656	 -5.807	 33.429	 77.405
	 0.785	 -0.374	 0.642	 -7.594	 33.163	 86.925
	 0.825	 -0.389	 0.559	 -5.940	 30.603	 89.885
	 0.858	 -0.408	 0.479	 -3.860	 27.056	 90.472
	 0.888	 -0.431	 0.405	 -0.180	 21.509	 87.698
	 0.893	 -0.449	 0.342	 3.526	 14.363	 80.845
	 0.883	 -0.455	 0.286	 4.726	 7.056	 72.738
	 0.878	 -0.461	 0.237	 5.526	 1.616	 68.765
	 0.869	 -0.468	 0.198	 6.006	 -2.437	 65.458
	 0.857	 -0.476	 0.164	 5.873	 -6.117	 61.218
	 0.845	 -0.483	 0.131	 5.740	 -9.797	 56.978
	 0.833	 -0.491	 0.097	 5.606	 -13.477	 52.738
	 0.821	 -0.498	 0.063	 5.473	 -17.157	 48.498
	 0.809	 -0.506	 0.030	 5.340	 -20.837	 44.258
	 0.797	 -0.513	 -0.004	 5.206	 -24.517	 40.018
	 0.785	 -0.521	 -0.038	 5.073	 -28.197	 35.778
	 0.773	 -0.528	 -0.071	 4.940	 -31.877	 31.538
	 0.767	 -0.531	 -0.069	 3.446	 -31.824	 29.618
	 0.763	 -0.533	 -0.067	 2.220	 -31.424	 28.605
	 0.770	 -0.533	 -0.068	 2.033	 -31.077	 29.138
	 0.770	 -0.533	 -0.068	 2.033	 -31.077	 29.138
